PSA-Nr;Aufstellort;PLZ;Bezirk/Gebiet;Abschnitt von;Abschnitt bis;Stellplätze;Roter Punkt;Gebührenzeit;Gebühr je 20 Minuten;Höchstparkdauer;Tagesgebühr 4,00 €;GeoKoordinateNord;GeoKoordinateOst
1;Deutzer Freiheit 53;50679;Deutz I;Siegburger Str.;Düppelstr.;10;;Mo-Sa 09:00 - 21:00;0,50 €;2;;50,93686078;6,97249396
2;Offenbachplatz 3;50667;City/Martinsviertel;;;8;;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,93795;6,95324
3;Turkuplatz;50765;Chorweiler;Athener Ring;Willi-Suth-Allee;33;;Mo-Sa 09:00 - 20:00;0,50 €;4;;51,01951411;6,89767251
4;Neusser Str. 453;50733;Nippes;Bergstraße;Mauenheimer Gürtel;14;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,97248481;6,95098355
5;Liverpooler Platz A;50765;Chorweiler;Platzfläche;;69;;"Mo-Mi+Fr 09:00 - 20:00; Do + Sa 15:00 - 20:00";0,50 €;4;;51,021261;6,898092
6;Severinstr. 218;50676;Georgsviertel;Waidmarkt;Kl. Spitzengasse;20;GEO;Mo-Sa 09:00 - 18:00;1,00 €;4;;50,9299707;6,9570522
7;Jahnstr. 9;50676;Griechenmarktviertel;Mauritiuswall;Humboldtstr.;51;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,9319231;6,94235454
8;Jan-Wellem-Str. 2;51065;Mülheim;Platz;;65;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,96031625;7,00485467
9;Bonner Wall;50677;Südliche Neustadt II;Bonner Straße;Ohmstraße;0;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,91632612;6,96049601
10;Vorsterstr. 68;51103;Kalk;Platz;;82;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,93850857;7,00195554
11;Buchheimer Str. 56 Platz;51063;Mülheim;;;33;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,962538;7,003347
12;Kunibertsklostergasse 16;50668;Kunibertsviertel;Kunibertsklostergasse;Dagobertstr.;11;KUN;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,947091;6,962663
13;Hauptstr. 85 / Rathaus;50996;Rodenkirchen;;;35;;Mo-Sa 09:00 - 18:00;0,50 €;4;;50,891902;6,996591
14;Mühlenstr. 49 Platz;51143;Porz;;;45;;Mo-Fr 09:00 - 19:00 + Sa 09:00 - 16:00;0,50 €;2;;50,88294766;7,0584476
15;Deutzer Freiheit 89;50679;Deutz I;Düppelstr.;Neuhöffer Str.;12;;Mo-Sa 09:00 - 21:00;0,50 €;2;;50,9367979;6,9744798
16;Deutzer Freiheit 106;50679;Deutz I;Neuhöffer Str.;Reischplatz;7;;Mo-Sa 09:00 - 21:00;0,50 €;2;;50,9368631;6,9762726
17;Kirchstr. 2;50996;Rodenkirchen;;;23;;Mo-Sa 09:00 - 18:00;0,50 €;2;;50,894706;6,993639
18;Fuchsstraße (Parkplatz);50823;Ehrenfeld;Venloer Str.;Sportplatz;46;;Mo-Sa 09:00 - 18:00;0,50 €;9;JA;50,946166;6,928009
19;Holweider Str. 124;51065;Mülheim;Carls-Werk-Str.;Zehntstr.;10;KEUP;Mo-Sa 09:00 - 23:00;0,50 €;4;;50,9641817;7,0170767
20;Yitzhak-Rabin-Platz;50674;Rathenauviertel;Engelbertstr.;Hohenstaufenring;41;RATH;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,932967;6,938951
21;Oststr. 12 Platz;50996;Rodenkirchen;Platzfläche;;37;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;50,892976;6,997118
22;Barbarastr. 47-49 Platz;50996;Rodenkirchen;;;44;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;50,893417;6,997457
23;Frohngasse (Zoobrücke links);50735;lrh. ohne BWP;;;156;;Mo-So 09:00 - 18:00;0,50 €;9;JA;50,956345;6,972462
24;An der Flora (Zoobrücke rechts);50668;lrh. ohne BWP;;;127;;Mo-So 09:00 - 18:00;0,50 €;9;JA;50,957161;6,970983
25;Am Marktplatz 1 (Ensen)Platz;51149;Porz;;;63;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;50,897776;7,028526
26;Kyotostr. 17;50670;Gereonsviertel;Gereonsmühlengasse;Klingelpütz;24;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,945272;6,948464
27;Im Weidenbruch 135;51061;Mülheim;;;25;;Mo-Sa 09:00 - 18:00;0,50 €;1;;50,981464;7,03348
28;An der Kemperwiese 4;51069;Mülheim;;;43;;"Mo-Mi+Fr 09:00 - 18:00; Do 14:00 - 18:00 + Sa 09:00 - 14:00";0,50 €;4;;50,975594;7,074815
29;Hansaring (Mittelinsel);50670;Eigelsteinviertel;Ritterstraße;Bremer Str.;64;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,948164;6,950089
30;Ostlandstraße ggü. 26;50858;Weiden-Süd;Tilsiter Weg;Göttinger Straße;5;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;50,935579;6,839054
31;Weyerstr. 100;50676;Griechenmarktviertel;Weyerstr.;Neue Weyerstr.;52;GRI;Mo-Sa 09:00 - 23:00;1,00 €;1;;50,930169;6,942674
32;Ostlandstraße 30;50858;Weiden-Süd;Tilsiter Weg;Göttinger Straße;7;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;50,935596;6,838807
33;Vorgebirgstr. 39;50677;Südliche Neustadt II;Loreleystr.;Volksgartenstr.;19;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,920104;6,950581
34;Vorgebirgstr. 19;50677;Südliche Neustadt II;Volksgartenstr.;Vondelstr.;7;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;50,921568;6,951445
35;Volksgartenstr. 20 Insel;50677;Südliche Neustadt II;Metzer Str.;Vorgebirgstr.;90;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;50,920668;6,951921
36;Volksgartenstr. 4 Insel;50677;Südliche Neustadt II;Martin-Luther-Platz;;29;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;50,919917;6,953595
37;Rolandstr. 95 Insel;50677;Südliche Neustadt II;Merowinger Str.;Maria-Hilf-Str.;42;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;50,919528;6,954716
