lsanr,x,y,standort,baulast,bezirk,blindens,bemerkung,locid,mapem
0200 (100),23575790.868805,56399764.549303,Militärringstraße / Schillingsrotter Weg / Feuerwehr Ausfahrt,StrNRW,Rodenkirchen,nein,---,nein,nein
0201 (101),23580965.583036,56393969.630142,Zum Forstbotanischen Garten / Friedrich-Ebert-Straße,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
0202 (186),23573948.011699,56370017.802944,Bonner Landstraße / BAB555,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
0203 (103),23574204.56957,56367147.583156,Godorfer Hauptstraße / Kiesgrubenweg / Bonner Landstraße,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
0204 (104),23574597.193506,56360067.202768,Godorfer Hauptstraße / Otto-Hahn-Straße,StrNRW,Rodenkirchen,nein,---,nein,nein
0205 (105),23547540.172926,56382221.436515,Brühler Landstraße / Kapellenstraße / Kalscheurener Straße,StrNRW,Rodenkirchen,nein,---,nein,nein
0206 (106),23542097.987709,56366992.76194,Brühler Landstraße / Am Kölnberg,StrNRW,Rodenkirchen,nein,---,nein,nein
0207 (107),23541412.665805,56365149.4157,Brühler Landstraße / Alte Fischenicher Straße,StrNRW,Rodenkirchen,nein,---,nein,nein
0208 (108),23557156.713141,56400442.289201,Brühler Landstraße / Militärringstraße / Brühler Straße,StrNRW,Rodenkirchen,ja - akustisch+taktil,---,nein,nein
0209 (109),23542600.758884,56402910.442762,Militärringstraße / Oberer Komarweg / Am Eifeltor,StrNRW,Rodenkirchen,nein,---,nein,nein
0210 (200),23570449.1,56398351.8,Am Verteilerkreis / Militärringstraße / Bonner Straße / BAB 555,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
0232 (132),23577437.248272,56349955.529574,Industriestraße / Bunsenstraße,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
0233 (133),23575752.358751,56345921.44117,Industriestraße / Kerkrader Straße,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
0234 (134),23575456.148771,56341734.85565,Industriestraße / Theodor-Heuss-Straße / Degussa,StrNRW,Rodenkirchen,nein,---,nein,nein
0235 (135),23573124.31896,56346625.613733,Kerkrader Straße / Am Dohmenhof,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
0236 (136),23570695.8,56347955.1,Kerkrader Straße / BAB555-Ost und West,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
0241 (141),23574432.725387,56362987.711044,Godorfer Hauptstraße / IKEA,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
0250 (150),23585726.211689,56388375.694059,Industriestraße / Zum Forstbotanischen Garten / Schillingsrotter Straße,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
0267 (167),23584764.638389,56369720.186521,Kiesgrubenweg / Unter den Birken,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
0268 (168),23586102.605156,56369895.939735,Kiesgrubenweg / Emil-Hoffmann-Straße / Wattigniestraße,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
0298 (098),23580055.576724,56404244.021227,Militärringstraße / Leyboldstraße / Konrad-Adenauer-Straße,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
